Frequency (Hz)	Level (dB)
195.144653	-106.396736
195.817566	-106.262459
196.490479	-104.984428
197.163391	-107.028046
197.836304	-104.179413
198.509216	-103.208206
199.182129	-102.552216
199.855042	-105.406670
200.527954	-104.141045
201.200867	-112.610252
201.873779	-105.656067
202.546692	-105.693001
203.219604	-105.126038
203.892517	-105.431503
204.565430	-110.284775
205.238342	-106.627892
205.911255	-107.850273
206.584167	-110.170128
207.257080	-106.553932
207.929993	-107.066948
208.602905	-108.457191
209.275818	-105.140053
209.948730	-110.879196
210.621643	-102.896210
211.294556	-107.140839
211.967468	-104.757149
212.640381	-106.621368
213.313293	-111.533318
213.986206	-105.233589
214.659119	-109.538948
215.332031	-103.815002
216.004944	-106.604538
216.677856	-108.993279
217.350769	-101.706169
218.023682	-107.876442
218.696594	-102.441925
219.369507	-101.277275
220.042419	-104.836136
220.715332	-101.661858
221.388245	-105.298325
222.061157	-103.936501
222.734070	-105.179993
223.406982	-108.259453
224.079895	-105.372498
224.752808	-107.109108
225.425720	-107.026360
226.098633	-108.140915
226.771545	-108.153976
227.444458	-105.768517
228.117371	-105.119606
228.790283	-103.637512
229.463196	-108.868095
230.136108	-106.972595
230.809021	-104.161392
231.481934	-108.865356
232.154846	-108.285301
232.827759	-107.030586
233.500671	-106.034279
234.173584	-105.060890
234.846497	-110.428101
235.519409	-106.208221
236.192322	-108.071030
236.865234	-109.228302
237.538147	-109.070915
238.211060	-113.368126
238.883972	-109.879707
239.556885	-106.357262
240.229797	-110.837784
240.902710	-111.613144
241.575623	-121.818100
242.248535	-114.959663
242.921448	-116.575813
243.594360	-112.472702
244.267273	-111.805359
244.940186	-113.270073
245.613098	-110.515907
246.286011	-114.412094
246.958923	-112.136818
247.631836	-111.266708
248.304749	-109.752487
248.977661	-111.931129
249.650574	-112.459732
250.323486	-113.205002
250.996399	-111.227043
251.669312	-110.431358
252.342224	-114.163078
253.015137	-110.351418
253.688049	-108.409340
254.360962	-112.546799
255.033875	-109.273705
255.706787	-109.963470
256.379700	-110.250465
257.052612	-109.494812
257.725525	-114.424988
258.398438	-115.296898
259.071350	-115.960632
259.744263	-110.426704
260.417175	-108.884972
261.090088	-112.026093
261.763000	-112.180038
262.435913	-111.438499
263.108826	-111.427765
263.781738	-111.704605
264.454651	-110.030769
265.127563	-109.207893
265.800476	-110.260056
266.473389	-113.287941
267.146301	-113.991676
267.819214	-119.857819
268.492126	-118.871078
269.165039	-114.189865
269.837952	-111.323059
270.510864	-109.403854
271.183777	-109.705170
271.856689	-107.442200
272.529602	-108.734085
273.202515	-106.342865
273.875427	-107.531578
274.548340	-106.558769
275.221252	-108.019081
275.894165	-108.417801
276.567078	-108.367088
277.239990	-106.173225
277.912903	-111.096436
278.585815	-107.752769
279.258728	-110.380081
279.931641	-109.684029
280.604553	-120.843292
281.277466	-109.070625
281.950378	-106.721245
282.623291	-111.051224
283.296204	-110.032104
283.969116	-107.901108
284.642029	-107.226120
285.314941	-109.908882
285.987854	-114.054985
286.660767	-110.347198
287.333679	-111.388214
288.006592	-107.843712
288.679504	-107.620987
289.352417	-108.810265
290.025330	-106.917953
290.698242	-109.858719
291.371155	-110.256699
292.044067	-109.211685
292.716980	-110.850761
293.389893	-119.280136
294.062805	-110.070847
294.735718	-108.599503
295.408630	-112.262016
296.081543	-114.342255
296.754456	-113.898834
297.427368	-114.982910
298.100281	-111.225967
298.773193	-104.900108
299.446106	-106.974693
300.119019	-110.386711
300.791931	-112.145325
301.464844	-110.091652
302.137756	-115.612877
302.810669	-110.911560
303.483582	-110.631958
304.156494	-111.165192
304.829407	-110.704910
305.502319	-110.661125
306.175232	-114.336983
306.848145	-119.209183
307.521057	-121.457947
308.193970	-113.824043
308.866882	-113.265854
309.539795	-114.199295
310.212708	-112.079155
310.885620	-114.417191
311.558533	-116.137428
312.231445	-115.258789
312.904358	-114.788658
313.577271	-113.460663
314.250183	-111.359123
314.923096	-112.627754
315.596008	-108.894142
316.268921	-110.785881
316.941833	-113.673241
317.614746	-111.903732
318.287659	-117.432083
318.960571	-111.666718
319.633484	-109.604065
320.306396	-108.402534
320.979309	-109.582191
321.652222	-109.988533
322.325134	-106.494553
322.998047	-106.584778
323.670959	-108.931328
324.343872	-111.102386
325.016785	-112.323875
325.689697	-111.392174
326.362610	-113.443748
327.035522	-120.309715
327.708435	-113.962364
328.381348	-109.067398
329.054260	-106.335548
329.727173	-108.070511
330.400085	-117.115959
331.072998	-112.160866
331.745911	-110.836296
332.418823	-112.448875
333.091736	-115.214691
333.764648	-112.855690
334.437561	-113.227798
335.110474	-114.821320
335.783386	-113.283188
336.456299	-110.552177
337.129211	-109.236946
337.802124	-107.203041
338.475037	-111.342606
339.147949	-117.975677
339.820862	-109.859085
340.493774	-108.610344
341.166687	-111.250305
341.839600	-110.627411
342.512512	-112.283539
343.185425	-113.060181
343.858337	-112.309334
344.531250	-113.407532
345.204163	-115.048180
345.877075	-117.054817
346.549988	-115.385490
347.222900	-112.576691
347.895813	-114.639389
348.568726	-116.606407
349.241638	-110.562622
349.914551	-111.371330
350.587463	-111.217972
351.260376	-114.859726
351.933289	-109.302109
352.606201	-110.796082
353.279114	-115.330704
353.952026	-111.638283
354.624939	-108.825508
355.297852	-107.587013
355.970764	-111.824799
356.643677	-110.743065
357.316589	-111.829048
357.989502	-111.807091
358.662415	-111.618660
359.335327	-110.003235
360.008240	-113.075020
360.681152	-111.861130
361.354065	-111.484230
362.026978	-114.786110
362.699890	-114.198868
363.372803	-114.210243
364.045715	-112.797531
364.718628	-112.733902
365.391541	-118.658279
366.064453	-112.080635
366.737366	-106.845146
367.410278	-99.549049
368.083191	-100.391373
368.756104	-102.919525
369.429016	-100.579796
370.101929	-91.760048
370.774841	-83.988823
371.447754	-74.577644
372.120667	-78.176147
372.793579	-90.443321
373.466492	-99.711357
374.139404	-99.704712
374.812317	-103.187141
375.485229	-98.580002
376.158142	-104.680481
376.831055	-106.771820
377.503967	-108.390923
378.176880	-108.524811
378.849792	-110.404694
379.522705	-111.304146
380.195618	-109.783783
380.868530	-111.020309
381.541443	-114.667786
382.214355	-115.645004
382.887268	-112.956657
383.560181	-115.899796
384.233093	-116.498962
384.906006	-111.280853
385.578918	-111.824150
386.251831	-106.653717
386.924744	-98.550308
387.597656	-100.045280
388.270569	-107.922356
388.943481	-112.848213
389.616394	-105.444130
390.289307	-106.247673
390.962219	-110.675949
391.635132	-113.615715
392.308044	-110.357857
392.980957	-111.903328
393.653870	-111.751213
394.326782	-111.840729
394.999695	-113.173798
395.672607	-111.492180
396.345520	-117.374947
397.018433	-114.596909
397.691345	-113.865227
398.364258	-115.593636
399.037170	-113.183815
399.710083	-112.065437
400.382996	-116.085182
401.055908	-112.855499
401.728821	-111.092506
402.401733	-111.834602
403.074646	-111.657204
403.747559	-112.702904
404.420471	-114.714401
405.093384	-111.685364
405.766296	-109.315857
406.439209	-109.325188
407.112122	-112.705124
407.785034	-118.336327
408.457947	-116.904518
409.130859	-117.671295
409.803772	-116.195061
410.476685	-112.842842
411.149597	-113.453011
411.822510	-111.993385
412.495422	-112.352493
413.168335	-114.142860
413.841248	-115.885681
414.514160	-111.740929
415.187073	-110.916245
415.859985	-112.198616
416.532898	-112.201912
417.205811	-113.287292
417.878723	-117.680763
418.551636	-108.539383
419.224548	-108.919945
419.897461	-109.678146
420.570374	-110.501099
421.243286	-108.334778
421.916199	-109.337517
422.589111	-109.738037
423.262024	-110.182220
423.934937	-116.315735
424.607849	-109.309814
425.280762	-107.061813
425.953674	-109.298828
426.626587	-106.436966
427.299500	-106.349625
427.972412	-106.986595
428.645325	-108.577148
429.318237	-118.711342
429.991150	-109.794167
430.664063	-114.230927
431.336975	-109.206825
432.009888	-113.853661
432.682800	-111.946358
433.355713	-111.142853
434.028625	-109.048477
434.701538	-112.102051
435.374451	-110.549492
436.047363	-113.111671
436.720276	-112.442863
437.393188	-113.930130
438.066101	-113.525345
438.739014	-111.098900
439.411926	-112.716438
440.084839	-113.520454
440.757751	-114.619331
441.430664	-122.392273
442.103577	-113.156425
442.776489	-113.538307
443.449402	-112.800842
444.122314	-113.112267
444.795227	-113.455025
445.468140	-115.640579
446.141052	-116.308678
446.813965	-112.534241
447.486877	-115.026825
448.159790	-115.158920
448.832703	-113.318848
449.505615	-107.500313
450.178528	-108.320396
450.851440	-116.713684
451.524353	-114.386711
452.197266	-109.153252
452.870178	-113.129211
453.543091	-117.222763
454.216003	-114.820396
454.888916	-113.131317
455.561829	-112.670753
456.234741	-115.605659
456.907654	-114.176086
457.580566	-110.561462
458.253479	-112.180374
458.926392	-115.758430
459.599304	-115.802628
460.272217	-112.838081
460.945129	-108.516129
461.618042	-108.121323
462.290955	-109.757393
462.963867	-112.473839
463.636780	-114.009148
464.309692	-112.665268
464.982605	-117.855080
465.655518	-112.755058
466.328430	-111.664825
467.001343	-111.652321
467.674255	-113.099724
468.347168	-114.002014
469.020081	-116.828934
469.692993	-120.456375
470.365906	-120.870857
471.038818	-114.181740
471.711731	-112.485703
472.384644	-110.357590
473.057556	-112.689957
473.730469	-115.829826
474.403381	-115.640305
475.076294	-114.300316
475.749207	-111.458191
476.422119	-109.848831
477.095032	-109.018845
477.767944	-110.459930
478.440857	-112.121384
479.113770	-113.214867
479.786682	-111.242523
480.459595	-112.708809
481.132507	-115.607132
481.805420	-118.117088
482.478333	-114.112968
483.151245	-114.777916
483.824158	-115.789009
484.497070	-112.525658
485.169983	-113.491745
485.842896	-115.052711
486.515808	-112.834045
487.188721	-109.745171
487.861633	-111.242157
488.534546	-114.969612
489.207458	-112.251183
489.880371	-115.092422
490.553284	-114.127983
491.226196	-112.559555
491.899109	-116.942268
492.572021	-113.110954
493.244934	-113.283020
493.917847	-112.704399
494.590759	-109.607002
495.263672	-113.512230
495.936584	-112.058601
496.609497	-111.088379
497.282410	-114.247017
497.955322	-112.727806
498.628235	-109.797859
499.301147	-109.808594
499.974060	-108.057236
500.646973	-110.533455
501.319885	-111.025421
501.992798	-110.096954
502.665710	-114.060646
503.338623	-112.602699
504.011536	-114.132088
504.684448	-111.130409
505.357361	-112.436028
506.030273	-110.474640
506.703186	-111.789200
507.376099	-111.927177
508.049011	-112.767914
508.721924	-108.991577
509.394836	-110.457802
510.067749	-113.420975
510.740662	-115.720963
511.413574	-115.823288
512.086487	-111.035278
512.759399	-114.421524
513.432312	-114.871399
514.105225	-115.411919
514.778137	-114.994820
515.451050	-114.085304
516.123962	-115.870758
516.796875	-115.399353
517.469788	-118.754280
518.142700	-114.970993
518.815613	-111.473373
519.488525	-111.570244
520.161438	-111.061790
520.834351	-113.369865
521.507263	-114.364059
522.180176	-114.810104
522.853088	-115.471573
523.526001	-112.164917
524.198914	-109.774368
524.871826	-109.884293
525.544739	-114.354973
526.217651	-113.179909
526.890564	-112.356247
527.563477	-112.983833
528.236389	-119.853165
528.909302	-114.914314
529.582214	-113.599075
530.255127	-116.010872
530.928040	-115.583649
531.600952	-112.682610
532.273865	-113.586479
532.946777	-117.712646
533.619690	-114.564301
534.292603	-114.527100
534.965515	-114.563972
535.638428	-116.332458
536.311340	-117.143982
536.984253	-116.541977
537.657166	-114.278694
538.330078	-114.351982
539.002991	-113.058044
539.675903	-111.606377
540.348816	-112.697205
541.021729	-112.611061
541.694641	-117.533485
542.367554	-113.477493
543.040466	-114.512184
543.713379	-111.934212
544.386292	-109.864883
545.059204	-114.048820
545.732117	-120.196678
