Frequency (Hz)	Level (dB)
46.875000	-115.469627
93.750000	-116.083603
140.625000	-114.679314
187.500000	-111.388115
234.375000	-104.070381
281.250000	-93.592133
328.125000	-91.163597
375.000000	-95.031242
421.875000	-96.076622
468.750000	-97.253029
515.625000	-96.885193
562.500000	-96.894867
609.375000	-97.072342
656.250000	-96.998505
703.125000	-99.068535
750.000000	-99.091537
796.875000	-93.040337
843.750000	-90.460495
890.625000	-77.247833
937.500000	-73.602692
984.375000	-80.220276
1031.250000	-74.081810
1078.125000	-56.426311
1125.000000	-56.399208
1171.875000	-74.543159
1218.750000	-83.479225
1265.625000	-89.315971
1312.500000	-89.778610
1359.375000	-92.550705
1406.250000	-93.797714
1453.125000	-90.430565
1500.000000	-89.572899
1546.875000	-89.652931
1593.750000	-86.295311
1640.625000	-76.971321
1687.500000	-79.546349
1734.375000	-88.600639
1781.250000	-81.360207
1828.125000	-77.136673
1875.000000	-67.501717
1921.875000	-58.701141
1968.750000	-63.403206
2015.625000	-72.750763
2062.500000	-78.403847
2109.375000	-83.833214
2156.250000	-78.498535
2203.125000	-77.296333
2250.000000	-77.304527
2296.875000	-77.769012
2343.750000	-79.002289
2390.625000	-81.836540
2437.500000	-84.579247
2484.375000	-88.267494
2531.250000	-86.583221
2578.125000	-85.713036
2625.000000	-88.189011
2671.875000	-92.118080
2718.750000	-93.618240
2765.625000	-89.913261
2812.500000	-89.769699
2859.375000	-97.263939
2906.250000	-88.651871
2953.125000	-85.531387
3000.000000	-84.393684
3046.875000	-87.156937
3093.750000	-77.096161
3140.625000	-77.972717
3187.500000	-62.707035
3234.375000	-51.607071
3281.250000	-56.380692
3328.125000	-78.870140
3375.000000	-76.907799
3421.875000	-75.004204
3468.750000	-70.625824
3515.625000	-70.703789
3562.500000	-64.550842
3609.375000	-53.729584
3656.250000	-57.761261
3703.125000	-73.958946
3750.000000	-75.901932
3796.875000	-79.366707
3843.750000	-78.420822
3890.625000	-83.168198
3937.500000	-78.149216
3984.375000	-72.641983
4031.250000	-70.456474
4078.125000	-58.184723
4125.000000	-54.760643
4171.875000	-60.703041
4218.750000	-51.968231
4265.625000	-34.961731
4312.500000	-35.441521
4359.375000	-54.313698
4406.250000	-60.362450
4453.125000	-65.189812
4500.000000	-66.150970
4546.875000	-68.975311
4593.750000	-69.161522
4640.625000	-68.991096
4687.500000	-69.744164
4734.375000	-70.554436
4781.250000	-70.220009
4828.125000	-70.756561
4875.000000	-68.032265
4921.875000	-55.917728
4968.750000	-58.444317
5015.625000	-65.671165
5062.500000	-53.829700
5109.375000	-55.058170
5156.250000	-64.801781
5203.125000	-73.195801
5250.000000	-46.757877
5296.875000	-38.708214
5343.750000	-46.003716
5390.625000	-74.674301
5437.500000	-64.143875
5484.375000	-69.463074
5531.250000	-68.332588
5578.125000	-68.763885
5625.000000	-65.362099
5671.875000	-64.846733
5718.750000	-54.114372
5765.625000	-42.403793
5812.500000	-45.934795
5859.375000	-67.475670
5906.250000	-67.530479
5953.125000	-71.421593
6000.000000	-71.358734
6046.875000	-74.116005
6093.750000	-75.199554
6140.625000	-75.481995
6187.500000	-74.688087
6234.375000	-77.631287
6281.250000	-80.453865
6328.125000	-77.106995
6375.000000	-75.954453
6421.875000	-77.455032
6468.750000	-78.233025
6515.625000	-78.278175
6562.500000	-79.027542
6609.375000	-79.970924
6656.250000	-80.863602
